GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-PA4922	13565.372945642	1.73909017770718	0.0989551028168209	17.5745376256792	3.86024513154139e-69	1.50811271664456e-67
gene-PA4409	1628.48328724347	2.26583183112305	0.129079681367117	17.5537451528004	5.56840618328743e-69	2.15717247940799e-67
gene-PA1970	935.639359030919	3.00288314584826	0.17114608852742	17.5457305024366	6.41229759697607e-69	2.46339099350497e-67
gene-PA2930	883.532802444424	-3.09157356071572	0.176664639224889	-17.4996738129368	1.4409199443624e-68	5.48978590372783e-67
gene-PA1660	895.611628857281	2.34438255121982	0.134783797982183	17.3936525481329	9.21688073949106e-68	3.4827721482831e-66
gene-PA0716	826.099492027796	2.26878883750855	0.132030350700177	17.1838431502819	3.5087650115379e-66	1.31507371570648e-64
gene-PA3041	1280.99834323183	2.36414934421405	0.137600705030571	17.1812298758847	3.67046326914557e-66	1.36458352183557e-64
gene-PA1523	664.257691718526	2.0808568206798	0.121374290823417	17.1441316489929	6.9529778909117e-66	2.56425824616824e-64
gene-PA2939	1974.6163898236	2.9262856949125	0.17070024825128	17.1428320983158	7.11015583905252e-66	2.60141416016128e-64
gene-PA3598	372.784755502463	-2.43189815412392	0.141940621299743	-17.1332077586751	8.38986226865742e-66	3.04545394161502e-64
gene-PA0449	1445.93825496907	1.88988197919052	0.111033452678242	17.0208341144457	5.75449987472103e-65	2.072519095505e-63
gene-PA2366	969.007985072206	2.68574200108457	0.158640021519278	16.9297884314659	2.71353628364034e-64	9.69721106014106e-63
gene-PA1673	8530.11649203035	-1.75476734477263	0.104109628885975	-16.8549956766681	9.64151570807935e-64	3.41902980109583e-62
gene-PA5352	229.115276631572	3.33693923984352	0.19839663716228	16.819535288363	1.75530155855666e-63	6.17705357629481e-62
gene-PA5204	2168.48237976933	-2.14091255130259	0.127347541840808	-16.8115734340508	2.00770816414052e-63	7.01176866415743e-62
gene-PA4587	11712.0580313987	2.48186846198278	0.147795987381288	16.7925293910719	2.76792623577433e-63	9.5940901856539e-62
gene-PA2056	262.855873469179	-2.95853502030726	0.176821974696148	-16.7317157575648	7.69881663225252e-63	2.64862273691672e-61
gene-PA0173	254.660924124924	3.37173483120006	0.20208666698525	16.6845981553357	1.696436746944e-62	5.79301733586063e-61
gene-PA1959	640.048014744178	-2.32936892177236	0.139884539029358	-16.6520827672276	2.9225148951944e-62	9.90646593150455e-61
gene-PA3858	2450.69062342723	2.28677857828298	0.137421678142422	16.640595641053	3.5407844052845e-62	1.19146102980741e-60
gene-PA3519	293.113904572215	-2.95903131470195	0.177905814906483	-16.6325722195049	4.04835029745228e-62	1.35238368632283e-60
gene-PA3366	5746.00556371269	2.68539384265136	0.161896083157393	16.5871452247591	8.63273088440575e-62	2.8630855666986e-60
gene-PA5072	897.004827564578	-2.18724438409442	0.13283036720487	-16.4664483741202	6.39143450936885e-61	2.10460807772789e-59
gene-PA3007	2331.85718934895	-2.23795718754479	0.135997405120515	-16.4558815336337	7.61057336708933e-61	2.48827966115474e-59
gene-PA1797a	543.320604133352	-2.27429675565573	0.138247194714285	-16.4509432567945	8.25722007102677e-61	2.68068905122771e-59
gene-PA5481	2917.98605393857	3.0809233870174	0.187605196313622	16.4223776716023	1.32280038756115e-60	4.26441243822162e-59
gene-PA3677	547.523617227868	-2.3444806032195	0.142964604651503	-16.3990283394586	1.94321221828884e-60	6.22097800438302e-59
gene-PA3365	910.041011276707	2.41883276931341	0.147569348478078	16.3911597785006	2.21183969630052e-60	7.03212482754853e-59
gene-PA4297	531.762926948303	1.89429086174888	0.115642367517525	16.3805956451195	2.63153467619643e-60	8.30916086114078e-59
gene-PA2931	1218.93249275386	-3.21301165210425	0.196834689972001	-16.3234013910927	6.72801108160878e-60	2.10994089021881e-58
gene-PA1048	2620.27509490219	1.46120615618994	0.0897762381539024	16.2760902688417	1.45897606540907e-59	4.54451328482151e-58
gene-PA2561	1010.57896508922	-2.01152330705222	0.123668381290513	-16.265461600301	1.73554232082941e-59	5.36969805303597e-58
gene-PA0837	5072.98248215341	1.42396342670799	0.0876586130363103	16.2444211399757	2.44639662619008e-59	7.51859229782416e-58
gene-PA4498	977.787852600673	1.78749373502622	0.110227806673023	16.2163594557278	3.86431463468322e-59	1.17976758052249e-57
gene-PA3762	1402.81434641997	-1.61192089659416	0.0999337875812997	-16.1298889555528	1.57303021688412e-58	4.77083506568144e-57
gene-PA0355	2065.18870923249	1.74912959878971	0.108552365931715	16.1132333116536	2.05966663533576e-58	6.20592365287441e-57
gene-PA0050	2094.88817348569	2.42055109169692	0.1503308249362	16.1014954366425	2.49012668572445e-58	7.45421040336993e-57
gene-PA3720	291.682270239764	-4.14475625847852	0.258123761424569	-16.0572441514252	5.08653846103822e-58	1.51283498744427e-56
gene-PA2886	340.617585014354	-3.4508465286142	0.215350057592518	-16.0243585127979	8.63776630150737e-58	2.55257068268904e-56
rna-PA0527.1	2480.41063968446	3.13598405120025	0.195791146925451	16.0169859589939	9.72513683177409e-58	2.85559750283303e-56
gene-PA5210	2501.78575300134	2.01013937049642	0.125903703829903	15.965688930106	2.21581472552531e-57	6.46513030675423e-56
gene-PA0788	1178.39385270488	2.10495375883636	0.132537798676875	15.8819127814866	8.45599147261577e-57	2.45170570369551e-55
gene-PA0833	3913.08476810336	-1.60925697909842	0.101439994055701	-15.8641273008629	1.12267159743663e-56	3.2346975401143e-55
gene-PA0922	902.119397210456	-2.12715346527387	0.134706653081489	-15.7910052444632	3.58815861568124e-56	1.02741684585655e-54
